id,card_data
22,"{""card_name"": ""Angelica, Princess Of Noble Arms"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 5"", ""card_atk"": ""1200"", ""card_def"": ""2400""}"
23,"{""card_name"": ""Dark Magician The Knight Of Dragon Magic"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 8"", ""card_atk"": ""2900"", ""card_def"": ""2400""}"
24,"{""card_name"": ""Duality"", ""card_icon"": ""Quick-Play Spell""}"
25,"{""card_name"": ""Magikey Deity - Ashtartu"", ""card_attribute"": ""Light"", ""card_rank"": ""Rank 8"", ""card_atk"": ""3000"", ""card_def"": ""3000""}"
26,"{""card_name"": ""Superheavy Samurai Security"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 4"", ""card_atk"": ""500"", ""card_def"": ""1500""}"
27,"{""card_name"": ""Zuttomozaurus"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 2"", ""card_atk"": ""500"", ""card_def"": ""400""}"
28,"{""card_name"": ""Magician Of Faithfulness"", ""card_attribute"": ""Light"", ""card_level"": ""Level 5"", ""card_atk"": ""600"", ""card_def"": ""800""}"
29,"{""card_name"": ""Diabolica The Draconique General"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 8"", ""card_atk"": ""2300"", ""card_def"": ""0""}"
30,"{""card_name"": ""Daidara-Bocchi"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 10"", ""card_atk"": ""2900"", ""card_def"": ""2500""}"
31,"{""card_name"": ""Divine Domain Baatistina"", ""card_icon"": ""Field Spell""}"
32,"{""card_name"": ""Red-Eyes Black Meteor Dragon"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 6"", ""card_atk"": ""2000"", ""card_def"": ""2000""}"
33,"{""card_name"": ""Crystal God Tistina"", ""card_attribute"": ""Light"", ""card_level"": ""Level 10"", ""card_atk"": ""2000"", ""card_def"": ""3000""}"
34,"{""card_name"": ""Signs Of The Tistina"", ""card_icon"": ""Continuous Trap""}"
35,"{""card_name"": ""Breath Of The Tistina"", ""card_icon"": ""Continuous Spell""}"
36,"{""card_name"": ""Stardust Wurm"", ""card_attribute"": ""Light"", ""card_level"": ""Level 1"", ""card_atk"": ""0"", ""card_def"": ""0""}"
37,"{""card_name"": ""Demigod Of The Tistina"", ""card_attribute"": ""Light"", ""card_level"": ""Level 10"", ""card_atk"": ""2000"", ""card_def"": ""0""}"
38,"{""card_name"": ""You'Re Finished"", ""card_icon"": ""Continuous Trap""}"
39,"{""card_name"": ""Finis Terrae, Tower Of The Necroworld"", ""card_attribute"": ""Water"", ""card_level"": ""Level 10"", ""card_atk"": ""1000"", ""card_def"": ""2800""}"
40,"{""card_name"": ""Synchro Forceback"", ""card_icon"": ""Normal Trap""}"
41,"{""card_name"": ""Kuibelt The Blade Dragon"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 7"", ""card_atk"": ""2500"", ""card_def"": ""1900""}"
42,"{""card_name"": ""Storagepod"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 6"", ""card_atk"": ""2500"", ""card_def"": ""2500""}"
43,"{""card_name"": ""Hound Of The Tistina"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 4"", ""card_atk"": ""1800"", ""card_def"": ""700""}"
44,"{""card_name"": ""Sentinel Of The Tistina"", ""card_attribute"": ""Wind"", ""card_level"": ""Level 3"", ""card_atk"": ""1200"", ""card_def"": ""1400""}"
45,"{""card_name"": ""Split Mirror Of The Underworld"", ""card_icon"": ""Normal Trap""}"
46,"{""card_name"": ""Mikanko Spiritwalk"", ""card_icon"": ""Normal Trap""}"
47,"{""card_name"": ""Small Scuffle"", ""card_icon"": ""Normal Trap""}"
48,"{""card_name"": ""Banishing Trap Hole"", ""card_icon"": ""Normal Trap""}"
49,"{""card_name"": ""Purrely Sharely!?"", ""card_icon"": ""Normal Trap""}"
50,"{""card_name"": ""The Continuing Epic Of Charles"", ""card_icon"": ""Normal Trap""}"
51,"{""card_name"": ""Nemleria Louve"", ""card_icon"": ""Normal Trap""}"
52,"{""card_name"": ""Vaylantz Wave - Master Phase"", ""card_icon"": ""Continuous Trap""}"
53,"{""card_name"": ""New World Stars"", ""card_icon"": ""Continuous Trap""}"
54,"{""card_name"": ""New World Formation"", ""card_icon"": ""Normal Trap""}"
55,"{""card_name"": ""Altergeist Revitalization"", ""card_icon"": ""Normal Trap""}"
56,"{""card_name"": ""Scrap-Iron Sacred Statue"", ""card_icon"": ""Normal Trap""}"
57,"{""card_name"": ""Million-Century Ice Prison"", ""card_icon"": ""Quick-Play Spell""}"
58,"{""card_name"": ""Aqua Chorus Round"", ""card_icon"": ""Normal Spell""}"
59,"{""card_name"": ""Tokusano Shinkyojin"", ""card_icon"": ""Normal Spell""}"
60,"{""card_name"": ""Overexaggeration"", ""card_icon"": ""Quick-Play Spell""}"
61,"{""card_name"": ""Beta Evolution Pill - Ultranscendance"", ""card_icon"": ""Normal Spell""}"
62,"{""card_name"": ""Duelist Genesis"", ""card_icon"": ""Normal Spell""}"
63,"{""card_name"": ""Fusion Armament"", ""card_icon"": ""Normal Spell""}"
64,"{""card_name"": ""Sinful Spoils Of Subversion - Snake-Eye"", ""card_icon"": ""Normal Spell""}"
65,"{""card_name"": ""Dark Corridor"", ""card_icon"": ""Normal Spell""}"
66,"{""card_name"": ""Emergency!"", ""card_icon"": ""Quick-Play Spell""}"
67,"{""card_name"": ""Noble Arms Museum"", ""card_icon"": ""Field Spell""}"
68,"{""card_name"": ""\""Infernoble Arms - Almace\"""", ""card_icon"": ""Equip Spell""}"
69,"{""card_name"": ""New World - Amritara"", ""card_icon"": ""Field Spell""}"
70,"{""card_name"": ""Realm Resonance"", ""card_icon"": ""Normal Spell""}"
71,"{""card_name"": ""Synchro World"", ""card_icon"": ""Field Spell""}"
72,"{""card_name"": ""Jurassic Power"", ""card_icon"": ""Continuous Spell""}"
73,"{""card_name"": ""Chimera Fusion"", ""card_icon"": ""Quick-Play Spell""}"
74,"{""card_name"": ""Unchained Soul Lord Of Yama"", ""card_attribute"": ""Dark"", ""card_link"": ""Link 2"", ""card_atk"": ""2000"", ""card_def"": ""-""}"
75,"{""card_name"": ""Synchro Overtop"", ""card_icon"": ""Normal Spell""}"
76,"{""card_name"": ""Emperor Charles The Great"", ""card_attribute"": ""Fire"", ""card_link"": ""Link 1"", ""card_atk"": ""3000"", ""card_def"": ""-""}"
77,"{""card_name"": ""Altergeist Adminia"", ""card_attribute"": ""Dark"", ""card_link"": ""Link 4"", ""card_atk"": ""3000"", ""card_def"": ""-""}"
78,"{""card_name"": ""Grenosaurus Giga-Cannon"", ""card_attribute"": ""Fire"", ""card_rank"": ""Rank 4"", ""card_atk"": ""2200"", ""card_def"": ""2000""}"
79,"{""card_name"": ""Thelematech Clatis"", ""card_attribute"": ""Dark"", ""card_rank"": ""Rank 8"", ""card_atk"": ""3000"", ""card_def"": ""900""}"
80,"{""card_name"": ""Evolzar Lars"", ""card_attribute"": ""Fire"", ""card_rank"": ""Rank 6"", ""card_atk"": ""2500"", ""card_def"": ""1500""}"
81,"{""card_name"": ""Epurrely Noir"", ""card_attribute"": ""Dark"", ""card_rank"": ""Rank 2"", ""card_atk"": ""1000"", ""card_def"": ""2000""}"
82,"{""card_name"": ""Gaia Blaze, The Force Of The Sun"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 7"", ""card_atk"": ""2600"", ""card_def"": ""2100""}"
83,"{""card_name"": ""Ursarctic Polar Star"", ""card_attribute"": ""Water"", ""card_level"": ""Level 1"", ""card_atk"": ""700"", ""card_def"": ""2000""}"
84,"{""card_name"": ""Lady Labrynth Of The Silver Castle"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 8"", ""card_atk"": ""3000"", ""card_def"": ""2900""}"
85,"{""card_name"": ""The Bystial Lubellion"", ""card_attribute"": ""Light"", ""card_level"": ""Level 8"", ""card_atk"": ""2500"", ""card_def"": ""3000""}"
86,"{""card_name"": ""Welcome Labrynth"", ""card_icon"": ""Normal Trap""}"
87,"{""card_name"": ""Thunder Discharge"", ""card_icon"": ""Normal Trap""}"
88,"{""card_name"": ""Macro Cosmos"", ""card_icon"": ""Continuous Trap""}"
89,"{""card_name"": ""Curse Of Aramatir"", ""card_icon"": ""Continuous Spell""}"
90,"{""card_name"": ""Forest Of Lost Flowers"", ""card_icon"": ""Field Spell""}"
91,"{""card_name"": ""Zaralaam The Dark Palace"", ""card_icon"": ""Field Spell""}"
92,"{""card_name"": ""Spright Smashers"", ""card_icon"": ""Quick-Play Spell""}"
93,"{""card_name"": ""Starlit Papillon"", ""card_icon"": ""Equip Spell""}"
94,"{""card_name"": ""Dunnell, The Noble Arms Of Light"", ""card_icon"": ""Equip Spell""}"
95,"{""card_name"": ""Rite Of Aramesir"", ""card_icon"": ""Normal Spell""}"
96,"{""card_name"": ""Mathmech Equation"", ""card_icon"": ""Normal Spell""}"
97,"{""card_name"": ""Sky Striker Mobilize - Engage!"", ""card_icon"": ""Normal Spell""}"
98,"{""card_name"": ""Book Of Eclipse"", ""card_icon"": ""Quick-Play Spell""}"
99,"{""card_name"": ""Terraforming"", ""card_icon"": ""Normal Spell""}"
100,"{""card_name"": ""Divine Arsenal Aa-Zeus - Sky Thunder"", ""card_attribute"": ""Light"", ""card_rank"": ""Rank 12"", ""card_atk"": ""3000"", ""card_def"": ""3000""}"
101,"{""card_name"": ""I:P Masquerena"", ""card_attribute"": ""Dark"", ""card_link"": ""Link 2"", ""card_atk"": ""800"", ""card_def"": ""-""}"
102,"{""card_name"": ""Tellarknight Ptolemaeus"", ""card_attribute"": ""Light"", ""card_rank"": ""Rank 4"", ""card_atk"": ""550"", ""card_def"": ""2600""}"
103,"{""card_name"": ""Stellarknight Constellar Diamond"", ""card_attribute"": ""Light"", ""card_rank"": ""Rank 5"", ""card_atk"": ""2700"", ""card_def"": ""2000""}"
104,"{""card_name"": ""Dante, Traveler Of The Burning Abyss"", ""card_attribute"": ""Light"", ""card_rank"": ""Rank 3"", ""card_atk"": ""1000"", ""card_def"": ""2500""}"
105,"{""card_name"": ""Number 72: Shogi Rook"", ""card_attribute"": ""Earth"", ""card_rank"": ""Rank 6"", ""card_atk"": ""2500"", ""card_def"": ""1200""}"
106,"{""card_name"": ""Herald Of Pure Light"", ""card_attribute"": ""Light"", ""card_rank"": ""Rank 2"", ""card_atk"": ""600"", ""card_def"": ""1000""}"
107,"{""card_name"": ""Number 92: Heart-Earth Dragon"", ""card_attribute"": ""Dark"", ""card_rank"": ""Rank 9"", ""card_atk"": ""0"", ""card_def"": ""0""}"
108,"{""card_name"": ""Number 65: Djinn Buster"", ""card_attribute"": ""Dark"", ""card_rank"": ""Rank 2"", ""card_atk"": ""1300"", ""card_def"": ""0""}"
109,"{""card_name"": ""Madolche Queen Tiaramisu"", ""card_attribute"": ""Earth"", ""card_rank"": ""Rank 4"", ""card_atk"": ""2200"", ""card_def"": ""2100""}"
110,"{""card_name"": ""Ukiyoe-P.U.N.K. Amazing Dragon"", ""card_attribute"": ""Wind"", ""card_level"": ""Level 11"", ""card_atk"": ""3000"", ""card_def"": ""2800""}"
111,"{""card_name"": ""Magnum The Reliever"", ""card_attribute"": ""Light"", ""card_level"": ""Level 8"", ""card_atk"": ""2800"", ""card_def"": ""2000""}"
112,"{""card_name"": ""Chimera The King Of Phantom Beasts"", ""card_attribute"": ""Wind"", ""card_level"": ""Level 6"", ""card_atk"": ""2100"", ""card_def"": ""1800""}"
113,"{""card_name"": ""Draco Berserker Of The Tenyi"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 8"", ""card_atk"": ""3000"", ""card_def"": ""0""}"
114,"{""card_name"": ""Cosmic Quasar Dragon"", ""card_attribute"": ""Light"", ""card_level"": ""Level 12"", ""card_atk"": ""4000"", ""card_def"": ""4000""}"
115,"{""card_name"": ""Crimson Dragon"", ""card_attribute"": ""Light"", ""card_level"": ""Level 12"", ""card_atk"": ""0"", ""card_def"": ""0""}"
116,"{""card_name"": ""Visas Amritara"", ""card_attribute"": ""Light"", ""card_level"": ""Level 8"", ""card_atk"": ""2500"", ""card_def"": ""2100""}"
117,"{""card_name"": ""Chimera The Illusion Beast"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 8"", ""card_atk"": ""3100"", ""card_def"": ""2800""}"
118,"{""card_name"": ""Sleipnir The Runick Mane"", ""card_attribute"": ""Light"", ""card_level"": ""Level 9"", ""card_atk"": ""1500"", ""card_def"": ""1500""}"
119,"{""card_name"": ""The Cuckoo Commanded To Croon"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 3"", ""card_atk"": ""800"", ""card_def"": ""1000""}"
120,"{""card_name"": ""Click & Echo"", ""card_attribute"": ""Water"", ""card_level"": ""Level 2"", ""card_atk"": ""300"", ""card_def"": ""2100""}"
121,"{""card_name"": ""Nightmare Magician"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 7"", ""card_atk"": ""2500"", ""card_def"": ""2000""}"
122,"{""card_name"": ""Greed Jar"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 3"", ""card_atk"": ""700"", ""card_def"": ""800""}"
123,"{""card_name"": ""Arahime The Manifested Mikanko"", ""card_attribute"": ""Light"", ""card_level"": ""Level 9"", ""card_atk"": ""0"", ""card_def"": ""0""}"
124,"{""card_name"": ""Agnimal Candle"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 4"", ""card_atk"": ""1700"", ""card_def"": ""0""}"
125,"{""card_name"": ""Doomstar Ulka"", ""card_attribute"": ""Wind"", ""card_level"": ""Level 4"", ""card_atk"": ""1500"", ""card_def"": ""400""}"
126,"{""card_name"": ""Hiita The Fire Channeler"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 5"", ""card_atk"": ""1850"", ""card_def"": ""1500""}"
127,"{""card_name"": ""Behemoth The King Of A Hundred Battles"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 10"", ""card_atk"": ""2700"", ""card_def"": ""1500""}"
128,"{""card_name"": ""Thestalos The Shadowfire Monarch"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 10"", ""card_atk"": ""3000"", ""card_def"": ""1000""}"
129,"{""card_name"": ""Unchained Soul Of Shyama"", ""card_attribute"": ""Water"", ""card_level"": ""Level 6"", ""card_atk"": ""2000"", ""card_def"": ""1500""}"
130,"{""card_name"": ""Rescue-Ace Preventer"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 8"", ""card_atk"": ""2800"", ""card_def"": ""2800""}"
131,"{""card_name"": ""Evolsaur Lios"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 4"", ""card_atk"": ""1600"", ""card_def"": ""400""}"
132,"{""card_name"": ""Ultimate Bright Knight Ursatron Alpha"", ""card_attribute"": ""Water"", ""card_level"": ""Level 7"", ""card_atk"": ""2000"", ""card_def"": ""700""}"
133,"{""card_name"": ""Evoltile Pholis"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 2"", ""card_atk"": ""900"", ""card_def"": ""300""}"
134,"{""card_name"": ""Unchained Soul Of Sharvara"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 6"", ""card_atk"": ""2000"", ""card_def"": ""1500""}"
135,"{""card_name"": ""Nemleria Dream Devourer - Reveil"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 10"", ""card_atk"": ""2500"", ""card_def"": ""2500""}"
136,"{""card_name"": ""Dreaming Reality Of Nemleria, Realized"", ""card_attribute"": ""Light"", ""card_level"": ""Level 10"", ""card_atk"": ""1500"", ""card_def"": ""3000""}"
137,"{""card_name"": ""Infernoble Knight Turpin"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 4"", ""card_atk"": ""1400"", ""card_def"": ""1700""}"
138,"{""card_name"": ""Infernoble Knight Ricciardetto"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 1"", ""card_atk"": ""500"", ""card_def"": ""0""}"
139,"{""card_name"": ""Mannadium Torrid"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 2"", ""card_atk"": ""0"", ""card_def"": ""1500""}"
140,"{""card_name"": ""Veda Kalanta"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 8"", ""card_atk"": ""2500"", ""card_def"": ""2100""}"
141,"{""card_name"": ""Altergeist Malwisp"", ""card_attribute"": ""Light"", ""card_level"": ""Level 3"", ""card_atk"": ""1500"", ""card_def"": ""0""}"
142,"{""card_name"": ""Altergeist Peritrator"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 1"", ""card_atk"": ""500"", ""card_def"": ""300""}"
143,"{""card_name"": ""Mighty Dino King Rex"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 9"", ""card_atk"": ""3200"", ""card_def"": ""1200""}"
144,"{""card_name"": ""Double-Headed Dino King Rex"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 6"", ""card_atk"": ""1600"", ""card_def"": ""1200""}"
145,"{""card_name"": ""Cornfield Coatl"", ""card_attribute"": ""Wind"", ""card_level"": ""Level 4"", ""card_atk"": ""500"", ""card_def"": ""1700""}"
146,"{""card_name"": ""Mirror Swordknight"", ""card_attribute"": ""Light"", ""card_level"": ""Level 4"", ""card_atk"": ""1900"", ""card_def"": ""300""}"
147,"{""card_name"": ""Big-Winged Berfomet"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 5"", ""card_atk"": ""1400"", ""card_def"": ""1800""}"
148,"{""card_name"": ""Gazelle The King Of Mythical Claws"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 4"", ""card_atk"": ""1500"", ""card_def"": ""1200""}"
149,"{""card_name"": ""Wheel Synchron"", ""card_attribute"": ""Light"", ""card_level"": ""Level 5"", ""card_atk"": ""800"", ""card_def"": ""1000""}"
150,"{""card_name"": ""Revolution Synchron"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 3"", ""card_atk"": ""900"", ""card_def"": ""1400""}"
151,"{""card_name"": ""Junk Archer"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 7"", ""card_atk"": ""2300"", ""card_def"": ""2000""}"
152,"{""card_name"": ""Ukiyoe-P.U.N.K. Rising Carp"", ""card_attribute"": ""Water"", ""card_level"": ""Level 8"", ""card_atk"": ""1000"", ""card_def"": ""2600""}"
153,"{""card_name"": ""Mysterion The Dragon Crown"", ""card_attribute"": ""Light"", ""card_level"": ""Level 8"", ""card_atk"": ""3000"", ""card_def"": ""1500""}"
154,"{""card_name"": ""Celestial Apparatus Tesea"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 4"", ""card_atk"": ""1000"", ""card_def"": ""1000""}"
155,"{""card_name"": ""Spright Carrot"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 2"", ""card_atk"": ""1000"", ""card_def"": ""1900""}"
156,"{""card_name"": ""Water Enchantress Of The Temple"", ""card_attribute"": ""Water"", ""card_level"": ""Level 3"", ""card_atk"": ""1500"", ""card_def"": ""1200""}"
157,"{""card_name"": ""Noh-P.U.N.K. Deer Note"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 5"", ""card_atk"": ""2100"", ""card_def"": ""1800""}"
158,"{""card_name"": ""Noh-P.U.N.K. Ogre Dance"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 8"", ""card_atk"": ""2500"", ""card_def"": ""2000""}"
159,"{""card_name"": ""Noh-P.U.N.K. Foxy Tune"", ""card_attribute"": ""Light"", ""card_level"": ""Level 8"", ""card_atk"": ""2300"", ""card_def"": ""2600""}"
160,"{""card_name"": ""Noh-P.U.N.K. Ze Amin"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 3"", ""card_atk"": ""600"", ""card_def"": ""600""}"
161,"{""card_name"": ""Ukiyoe-P.U.N.K. Sharakusai"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 3"", ""card_atk"": ""1200"", ""card_def"": ""600""}"
162,"{""card_name"": ""Mathmech Sigma"", ""card_attribute"": ""Light"", ""card_level"": ""Level 4"", ""card_atk"": ""1000"", ""card_def"": ""1500""}"
163,"{""card_name"": ""Danger! Nessie!"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 7"", ""card_atk"": ""1600"", ""card_def"": ""2800""}"
164,"{""card_name"": ""Knightmare Corruptor Iblee"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 2"", ""card_atk"": ""0"", ""card_def"": ""0""}"
165,"{""card_name"": ""Photon Vanisher"", ""card_attribute"": ""Light"", ""card_level"": ""Level 4"", ""card_atk"": ""2000"", ""card_def"": ""0""}"
166,"{""card_name"": ""Spyral Quik-Fix"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 1"", ""card_atk"": ""500"", ""card_def"": ""400""}"
167,"{""card_name"": ""Aratama"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 4"", ""card_atk"": ""800"", ""card_def"": ""1800""}"
168,"{""card_name"": ""Dark Armed Dragon"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 7"", ""card_atk"": ""2800"", ""card_def"": ""1000""}"
169,"{""card_name"": ""Sky Striker Ace - Azalea"", ""card_attribute"": ""Dark"", ""card_link"": ""Link 2"", ""card_atk"": ""1500"", ""card_def"": ""-""}"
170,"{""card_name"": ""Volcanic Shell"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 1"", ""card_atk"": ""100"", ""card_def"": ""0""}"
171,"{""card_name"": ""Sage Of Wisdom - Himmel"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 5"", ""card_atk"": ""500"", ""card_def"": ""2500""}"
172,"{""card_name"": ""Sage Of Benevolence - Ciela"", ""card_attribute"": ""Water"", ""card_level"": ""Level 6"", ""card_atk"": ""2200"", ""card_def"": ""1000""}"
173,"{""card_name"": ""Synchro Zone"", ""card_icon"": ""Continuous Trap""}"
174,"{""card_name"": ""Sage Of Strength - Akash"", ""card_attribute"": ""Fire"", ""card_level"": ""Level 5"", ""card_atk"": ""2400"", ""card_def"": ""200""}"
175,"{""card_name"": ""Additional Mirror Level 7"", ""card_icon"": ""Quick-Play Spell""}"
176,"{""card_name"": ""Baby Spider"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 3"", ""card_atk"": ""0"", ""card_def"": ""0""}"
177,"{""card_name"": ""D/D/D/D Super-Dimensional Sovereign Emperor Zero Paradox"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 12"", ""card_atk"": ""3000"", ""card_def"": ""3000"", ""card_pendulum_scale"": ""10""}"
178,"{""card_name"": ""Mother Spider Splitter"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 5"", ""card_atk"": ""0"", ""card_def"": ""2300""}"
179,"{""card_name"": ""Cattycorn"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 4"", ""card_atk"": ""1500"", ""card_def"": ""500""}"
180,"{""card_name"": ""Photon Jumper"", ""card_attribute"": ""Light"", ""card_level"": ""Level 4"", ""card_atk"": ""0"", ""card_def"": ""0""}"
181,"{""card_name"": ""Final Cross"", ""card_icon"": ""Quick-Play Spell""}"
182,"{""card_name"": ""Rose Shaman"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 4"", ""card_atk"": ""1700"", ""card_def"": ""200""}"
183,"{""card_name"": ""Blackwing - Sharnga The Waning Moon"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 2"", ""card_atk"": ""500"", ""card_def"": ""500""}"
184,"{""card_name"": ""Shadow'S Light"", ""card_icon"": ""Normal Spell""}"
185,"{""card_name"": ""Protection Of The Elements"", ""card_icon"": ""Counter Trap""}"
186,"{""card_name"": ""There Can Be Only One"", ""card_icon"": ""Continuous Trap""}"
187,"{""card_name"": ""Eradicator Epidemic Virus"", ""card_icon"": ""Normal Trap""}"
188,"{""card_name"": ""Deck Devastation Virus"", ""card_icon"": ""Normal Trap""}"
189,"{""card_name"": ""Lost World"", ""card_icon"": ""Field Spell""}"
190,"{""card_name"": ""Pre-Preparation Of Rites"", ""card_icon"": ""Normal Spell""}"
191,"{""card_name"": ""Fossil Dig"", ""card_icon"": ""Normal Spell""}"
192,"{""card_name"": ""Enemy Controller"", ""card_icon"": ""Quick-Play Spell""}"
193,"{""card_name"": ""Double Evolution Pill"", ""card_icon"": ""Normal Spell""}"
194,"{""card_name"": ""Impcantation Chalislime"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 7"", ""card_atk"": ""2500"", ""card_def"": ""1800""}"
195,"{""card_name"": ""Animadorned Archosaur"", ""card_attribute"": ""Light"", ""card_level"": ""Level 1"", ""card_atk"": ""0"", ""card_def"": ""0""}"
196,"{""card_name"": ""Impcantation Bookstone"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 5"", ""card_atk"": ""0"", ""card_def"": ""0""}"
197,"{""card_name"": ""Impcantation Penciplume"", ""card_attribute"": ""Light"", ""card_level"": ""Level 3"", ""card_atk"": ""0"", ""card_def"": ""0""}"
198,"{""card_name"": ""True King Lithosagym, The Disaster"", ""card_attribute"": ""Earth"", ""card_level"": ""Level 9"", ""card_atk"": ""2500"", ""card_def"": ""2300""}"
